Station ID,Company Name,Location,Industry Domain,Preferred Branches,Stipend (UG),Stipend (PG),Facilities (Raw),Projects,Have Accommodation?,,updated at 11:40 may 6
5962,Electrono Solutions - Embedded Systems / IoT,Bangalore,Electronics,"A4 , A7",0,0,Unavailable,"Project: 0
Title: Biogas Design using horticulture waste
Description: Biogas Design using horticulture waste

Skills: - 
Students Required: 2
Min CGPA: 0
Max CGPA: 0",No,,
4680,"Access Livelihoods Consulting India, Ltd. - Social Sector",Hyderabad,Finance and Mgmt,Any,0,0,Unavailable,"Project: 0
Title: Develop application for material gate pass for security department
Description: Develop application for material gate pass for security department

Skills: - 
Students Required: 1
Min CGPA: 0
Max CGPA: 0",No,,
5886,Adani Power-Chemical (Biogas design),Tirora,Mechanical,A1,0,0,Unavailable,"Project: 0
Title: Biogas Design using horticulture waste
Description: Biogas Design using horticulture waste

Skills: - 
Students Required: 2
Min CGPA: 0
Max CGPA: 0",No,,
5885,Adani Power-Chemical (Lube oil quality),Tirora,Mechanical,A1,0,0,Unavailable,"Project: 0
Title: Lube Oil quality improvement
Description: Lube Oil quality improvement

Skills: - 
Students Required: 2
Min CGPA: 0
Max CGPA: 0",No,,
5884,Adani Power-Civil,Tirora,Mechanical,A2,0,0,Unavailable,"Project: 0
Title: Unit process & operation, Safety and Enviornment, Utility calculations, study of cement production process
Description: Chemical-Unit process & operation

Skills: - 
Students Required: 2
Min CGPA: 0
Max CGPA: 0",No,,
5883,Adani Power-Computer science,Tirora,Mechanical,A7,0,0,Unavailable,"Project: 0
Title: Inventory management, Cement quality
Description: Inventory management, Cement quality

Skills: - 
Students Required: 1
Min CGPA: 0
Max CGPA: 0",No,,
5882,Adani Power-Electronics,Tirora,Mechanical,"A3 , A8 , AA",0,0,Unavailable,"Project: 0
Title: Develop IoT application for monitoring UPS room parameters
Description: Develop IoT application for monitoring UPS room parameters

Skills: - 
Students Required: 1
Min CGPA: 0
Max CGPA: 0",No,,
5881,Adani Power-Mechanical,Tirora,Mechanical,A4,0,0,Unavailable,"Project: 0
Title: Operations and Maintenance
Description: Operations and Maintenance

Skills: - 
Students Required: 2
Min CGPA: 0
Max CGPA: 0",No,,
5904,Adarsh Control & Automation Pvt. Ltd- Industrial Automation,Bangalore,Electronics,"A3 , A8 , AA",0,0,Unavailable,"Project: 0
Title: Steel Plant Automation
Description: Blast Furnace. Any Specific courses that student should have undertaken . PLC, SCADA

Skills: - 
Students Required: 5
Min CGPA: 0
Max CGPA: 0",No,,
678,Aditya Birla Insulators,Halol,Electronics,"A1 , A4 , A7 , C6",0,0,"Stipend: 0
ContactDetailsForBoys: 
AccomAddressforGirls: Not Applicable
FieldTA: -
StationAddress: P.O. - Meghasar, Taluka: - Halol Dist. - Panchmahal Gujarat 389330
CompanyId: 5
Accomodation: Not Applicable
OnOffice: -
Weekdays: 
TillTime: 5:00PM
FieldDA: -
Medical: -
Stationary: -
SubsidizedLunch: -
Status: Active
StationFacilitiesId: 9230
StipendForPG: 0
RemarkforAccommodation: Not Applicable
ContactDetailsForGirls: 
AccomAddressforBoys: Not Applicable
FacultyId: 0
StartTime: 9:00AM
ToOffice: -
Travel: -
OtherInfo: -","Project: 0
Title: Re-Designing of Railway Metal Parts using FEM, Prototype Development & Testing 
Description: 1-3D CAD & FEM. 2-Simulation is essential 
Skills: R & D
Students Required: 2
Min CGPA: 0
Max CGPA: 0

Project: 1
Title: Polymer
Description: 1-Rework reduction. 2-Productivity Improvement
Skills: - 
Students Required: 1
Min CGPA: 0
Max CGPA: 0

Project: 2
Title: IT Network
Description: 1 . Migration of Pro C to java. Networking Basic / Wi-Fi network basic knowledge
Skills: Java , JSP
Students Required: 1
Min CGPA: 0
Max CGPA: 0

Project: 3
Title: Cycle Time Reduction from Cementing to Testing
Description: Technical Services
Skills: - 
Students Required: 1
Min CGPA: 0
Max CGPA: 0",No,,
5759,Aditya Birla Science & Technology-Chemical,Mumbai,Chemical,A1,0,0,Unavailable,"Project: 0
Title: Unit process & operation, design calculations, process improvement, modeling & simulation, process optimization
Description: Unit process & operation, design calculations, process improvement, modeling & simulation, process optimization

Skills: - 
Students Required: 5
Min CGPA: 0
Max CGPA: 0",No,,
5862,Aditya Cement Works-Chemical,Shambupura,Cement,A1,0,0,Unavailable,"Project: 0
Title: Unit process & operation, Safety and Enviornment, Utility calculations, study of cement production process
Description: Chemical-Unit process & operation

Skills: - 
Students Required: 2
Min CGPA: 0
Max CGPA: 0",No,,
5861,Aditya Cement Works-Civil,Shambupura,Cement,A2,0,0,Unavailable,"Project: 0
Title: Inventory management, Cement quality
Description: Inventory management, Cement quality

Skills: - 
Students Required: 1
Min CGPA: 0
Max CGPA: 0",No,,
5863,Aditya Cement Works-Mechanical,Shambupura,Cement,A4,0,0,Unavailable,"Project: 0
Title: Maintenance, Energy management
Description: Maintenance, Energy management

Skills: - 
Students Required: 2
Min CGPA: 0
Max CGPA: 0",No,,
5864,AECOM Infrastructure-Civil,Mumbai,Infrastructure,A2,0,0,Unavailable,"Project: 0
Title: Civil
Description: Civil

Skills: - 
Students Required: 10
Min CGPA: 0
Max CGPA: 0",No,,
